Gene	proba_m1	proba_m2	bayes_factor	scale1	scale2	raw_mean1	raw_mean2	non_zeros_proportion1	non_zeros_proportion2	raw_normalized_mean1	raw_normalized_mean2	comparison	group1	group2
PGM5	0.3248	0.6752	-0.7317993190164742	1.0199835e-05	2.8012844e-05	0.0036197365	0.0074287434	0.0027624309392265184	0.005131851630076381	0.019654851	0.048210237	2 vs Rest	2	Rest
FIBIN	0.3248	0.6752	-0.7317993190164742	1.5968019e-06	4.88011e-06	0.00038102496	0.007246307	0.00038102495713469235	0.004116708691401285	0.0015258419	0.023387572	2 vs Rest	2	Rest
ZNF114-AS1	0.3248	0.6752	-0.7317993190164742	3.8867325e-05	7.135841e-05	0.0076204967	0.01001573	0.00314345589636121	0.003761174758962082	0.032183126	0.057153713	2 vs Rest	2	Rest
ADAMTS3	0.3242	0.6758	-0.7345365489307342	5.8396876e-05	0.00022586485	0.04791381	0.52239597	0.03248237759573273	0.13587009912849662	0.17872827	1.8475155	2 vs Rest	2	Rest
HLA-DRA	0.3242	0.6758	-0.7345365489307342	2.4511776e-06	5.297335e-06	0.0010478187	0.0029799237	0.001047818632120404	0.0016887861790861962	0.0044925045	0.015450466	2 vs Rest	2	Rest
TMIGD1	0.324	0.6759999999999999	-0.735449544179337	6.8621844e-06	2.0463134e-05	0.00085730624	0.0013426093	0.00047628119641836546	0.0006923555526447498	0.004951191	0.010128081	2 vs Rest	2	Rest
ZFPM2	0.324	0.6759999999999999	-0.735449544179337	0.001006201	0.0023584797	2.4672308	4.4120646	0.46923223471140835	0.6306610592101655	9.419261	22.872128	2 vs Rest	2	Rest
AURKB	0.3236	0.6764	-0.737276415721892	3.4877572e-05	0.00025437537	0.068774804	0.5219005	0.0517241379310343	0.18027441605883926	0.32245782	2.721324	2 vs Rest	2	Rest
GAREM1	0.3234	0.6766	-0.7381902930619237	0.0002598984	0.0005929086	0.32006326	1.3774534	0.19956182129929106	0.35578187057649857	1.3157885	5.226068	2 vs Rest	2	Rest
AC026316.4	0.3234	0.6766	-0.7381902930619237	7.2803887e-06	2.0271502e-05	0.0036197358	0.004762258	0.003238712135644883	0.0032138396261280444	0.01652155	0.029959338	2 vs Rest	2	Rest
SRGN	0.323	0.677	-0.7400189335009155	6.0002826e-06	3.169149e-05	0.0035244795	0.036400724	0.0035244808534959015	0.006315405378854257	0.015235606	0.12819935	2 vs Rest	2	Rest
AC016745.1	0.323	0.677	-0.7400189335009155	3.0339395e-05	5.7981877e-05	0.01124024	0.028897734	0.008287292817679547	0.020410454568844764	0.049489673	0.1523036	2 vs Rest	2	Rest
CSF3R	0.3228	0.6772	-0.7409336976509392	3.533083e-06	1.1499873e-05	0.0010478187	0.010792287	0.0008573061535530579	0.003705037822261155	0.00536093	0.041008826	2 vs Rest	2	Rest
TEX14	0.3226	0.6774	-0.7418487584567498	9.336607e-05	0.00014836722	0.122975275	0.1864254	0.08954086492665372	0.12504034842329823	0.5530203	1.1584213	2 vs Rest	2	Rest
CKS1B	0.3222	0.6778	-0.7436797721470689	0.000100651276	0.00042412654	0.20261136	0.6867166	0.14774242712897773	0.29954669423612607	0.9150481	4.3567142	2 vs Rest	2	Rest
BRINP3	0.322	0.6779999999999999	-0.7445957260893497	0.00014389078	0.00036825406	0.19175138	0.46956766	0.07563345399123672	0.17849206831858846	0.6814352	2.7424192	2 vs Rest	2	Rest
ZNF385B	0.3218	0.6782	-0.7455119788029669	2.1033233e-05	6.7396984e-05	0.022194695	0.08067598	0.02019432272813874	0.04987766825876464	0.10281556	0.46962476	2 vs Rest	2	Rest
AC010677.2	0.3214	0.6786	-0.7473453826690628	8.658474e-06	1.5869648e-05	0.0006667937	0.0017215307	0.0005715374357020386	0.0010899921876096424	0.0033992128	0.014248725	2 vs Rest	2	Rest
MEF2C	0.3214	0.6786	-0.7473453826690628	0.00025653336	0.0009983387	0.33768588	2.028036	0.21537435702037933	0.36788405851365386	1.429668	8.393745	2 vs Rest	2	Rest
LIMCH1	0.3212	0.6788000000000001	-0.7482625348860948	0.00045644416	0.0010421055	0.69165146	2.521407	0.3189178891217424	0.5175170632903493	3.038017	10.004863	2 vs Rest	2	Rest
MROH8	0.321	0.679	-0.7491799880035732	0.00015770266	0.00032523877	0.15622069	0.2633847	0.08782625261954752	0.13003653578967053	0.6520644	1.863171	2 vs Rest	2	Rest
GRIN2A	0.3208	0.6792	-0.7500977425559128	2.0169176e-05	6.4678134e-05	0.018193949	0.07236497	0.01628881691750808	0.03269976562829056	0.08628368	0.33332792	2 vs Rest	2	Rest
DLG2	0.3206	0.6794	-0.751015799078385	0.0011444794	0.0017142029	1.7854494	3.6666172	0.4461802248047549	0.6037714665306358	7.325572	15.312824	2 vs Rest	2	Rest
FRMPD4	0.3206	0.6794	-0.751015799078385	4.0215942e-05	9.479005e-05	0.024480848	0.0842802	0.017336635549628502	0.035871502551891164	0.104403615	0.33640742	2 vs Rest	2	Rest
NIN	0.3202	0.6798	-0.7528528201791298	0.0002494369	0.00041100077	0.2398583	0.80655843	0.15650600114307484	0.3295612430590052	1.0463163	3.5061374	2 vs Rest	2	Rest
MIR3681HG	0.3202	0.6798	-0.7528528201791298	1.5898391e-05	4.8714595e-05	0.015812552	0.030198444	0.014669460849685631	0.022155377684632233	0.070320845	0.17049523	2 vs Rest	2	Rest
LINC01768	0.32	0.6799999999999999	-0.7537717858322629	4.2752545e-06	8.706813e-06	0.0013335875	0.0036909909	0.0012383311106877503	0.002577621010184206	0.006053287	0.016829696	2 vs Rest	2	Rest
NPAS2	0.3198	0.6802	-0.7546910556052567	3.2133405e-05	5.7504672e-05	0.017812926	0.065006986	0.01428843589255094	0.04284183885891905	0.07691155	0.25642115	2 vs Rest	2	Rest
